,Topic,Count,Name,Representation,KeyBERT,MMR,pos,Representative_Docs
86,85,20,85_room_spotless_noticed_huge,"['room', 'spotless', 'noticed', 'huge', 'was', 'extravaganza', 'flaw', 'gadgetry', 'duration', 'small']","['room', 'roomy', 'curtain', 'spotless', 'door', 'gap', 'little', 'visible', 'alley', 'bed']","['room', 'spotless', 'noticed', 'huge', 'was', 'extravaganza', 'flaw', 'gadgetry', 'duration', 'small']","['room', 'spotless', 'huge', 'duration', 'flaw', 'gadgetry', 'extravaganza', 'small', 'gap', 'alley']","['The room was spotless and the high tech gadgetry is right up my alley', 'When Chris left we looked around the room and noticed the odd little thing like a curtain had came off the rail though they did still close', ""However, the room had a rather huge flaw : there was a gap of at least 0,5 inch under the room's entry door""]"
87,86,19,86_valet_desk_front_staff,"['valet', 'desk', 'front', 'staff', 'everyone', 'bellhops', 'from', 'keeping', 'friendly', 'cafe']","['valets', 'valet', 'receptionists', 'housekeeping', 'waiter', 'staff', 'restaurants', 'cafe', 'employees', 'doormen']","['valet', 'desk', 'front', 'staff', 'everyone', 'bellhops', 'from', 'keeping', 'friendly', 'cafe']","['valet', 'desk', 'front', 'staff', 'bellhops', 'keeping', 'friendly', 'cafe', 'gracious', 'polite']","['From the valet, bellhops, front desk staff to the room service servers, everyone was gracious and polite', 'From the valet staff, to the front desk and house keeping, all staff were very friendly and accommodating', 'From the valet, to the front desk, to the restaurants, to room service and housekeeping']"
88,87,19,87_clean_spacious_modern_room,"['clean', 'spacious', 'modern', 'room', 'rooms', 'comfortable', 'immaculatly', 'pics', 'classical', 'hated']","['rooms', 'bedroom', 'room', 'spacious', 'apartment', 'comfortable', 'seating', 'comfort', 'sofa', 'bedding']","['clean', 'spacious', 'modern', 'room', 'rooms', 'comfortable', 'immaculatly', 'pics', 'classical', 'hated']","['clean', 'spacious', 'modern', 'room', 'rooms', 'comfortable', 'pics', 'classical', 'proof', 'size']","['On entering the reception area it was very cool and airy, immaculatly clean and very spacious', 'The room was modern, clean and a good size for our family', 'The room itself was spacious, clean and comfortable']"
89,88,19,88_welcoming_smiling_smile_greeted,"['welcoming', 'smiling', 'smile', 'greeted', 'friendly', 'always', 'everyone', 'they', 'nice', 'respectfuly']","['welcoming', 'greeted', 'smiling', 'smile', 'greet', 'cheerful', 'friendly', 'sincere', 'polite', 'gentle']","['welcoming', 'smiling', 'smile', 'greeted', 'friendly', 'always', 'everyone', 'they', 'nice', 'respectfuly']","['welcoming', 'smile', 'friendly', 'nice', 'person', 'kind', 'helpful', 'sincere', 'manner', 'way']","['Our last day turned out as wonderful as the first, we were greeted by the maid, who was very polite, friendly and brightly smiling', 'They are usually smiling, nice, welcoming', 'Cardona always greeted us with a warm smile and was extremely friendly and was first and formost our welcoming committee when we left and returned']"
90,89,19,89_slippers_robes_toiletries_sized,"['slippers', 'robes', 'toiletries', 'sized', 'robe', 'kit', 'cotton', 'swabs', 'provided', 'fit']","['robes', 'slippers', 'robe', 'clothes', 'toiletries', 'clothing', 'gifts', 'drawers', 'towels', 'grooming']","['slippers', 'robes', 'toiletries', 'sized', 'robe', 'kit', 'cotton', 'swabs', 'provided', 'fit']","['slippers', 'robes', 'toiletries', 'sized', 'robe', 'kit', 'cotton', 'hair', 'counter', 'kid']","['My husband and I were both given a tour and provided with robes and slippers', 'The robes, slippers and toiletries were first class', 'Decent sized robes, good slippers, lots of fluffy towels and generously sized bottles of toiletries were all provided']"
91,90,18,90_hyatt_park_chicago_connection,"['hyatt', 'park', 'chicago', 'connection', 'working', 'details', 'as', '1716', '35mbit', 'enveloped']","['hyatt', 'park', 'suites', 'guests', 'place', 'anniversary', 'stayed', 'management', 'met', 'wedding']","['hyatt', 'park', 'chicago', 'connection', 'working', 'details', 'as', '1716', '35mbit', 'enveloped']","['connection', 'details', 'expertise', 'nights', 'cloud', 'wired', 'max', 'interest', 'reference', 'combination']","['We recently spent a weekend at the Park Hyatt', 'This was our first stay at a Park Hyatt and we are in love', 'We stayed in an Executive Suite at the Park Hyatt on N']"
92,91,18,91_restaurant_excellent_refurbishing_michelle,"['restaurant', 'excellent', 'refurbishing', 'michelle', 'sample', 'arrogant', 'showcase', 'unprofessional', 'enjoynyc', 'adour']","['restaurant', 'restaurants', 'dining', 'dinner', 'food', 'superb', 'fabulous', 'outstanding', 'excellent', 'recommendations']","['restaurant', 'excellent', 'refurbishing', 'michelle', 'sample', 'arrogant', 'showcase', 'unprofessional', 'enjoynyc', 'adour']","['restaurant', 'excellent', 'refurbishing', 'showcase', 'unprofessional', 'arrogant', 'active', 'premises', 'food', 'accomodating']","['The restaurant is very good', 'Restaurant Excellent', 'Excellent restaurant']"
93,92,18,92_la_vibe_confortably_specialy,"['la', 'vibe', 'confortably', 'specialy', 'biltmore', 'bh', 'beg', 'effcient', 'subpar', 'nelson']","['la', 'hotels', 'angeles', 'los', 'attractions', 'place', 'mall', 'relaxing', 'explore', 'balcony']","['la', 'vibe', 'confortably', 'specialy', 'biltmore', 'bh', 'beg', 'effcient', 'subpar', 'nelson']","['vibe', 'effcient', 'subpar', 'edgy', 'school', 'closes', 'drivers', 'similar', 'face', 'place']","['SLS has a similar ""I\'m too cool for school LA vibe,"" but more edgy and in-your-face', 'We went down to LA for a quick show and a bite to eat, and this was truly the place to relax and be spoiled! We had a corner room with a balcony which had a beautiful view and provided lots of fresh air and entertainment', 'Since the moment we arrived until check out all the hotel staff and services were outstanding mainly the concierge that is highly effcient and seems to know all in LA and the hotel drivers (specialy Nelson) that drives you confortably to the closes shops (Rodeo Drive, BH mall, The Grove) and restaurants']"
94,93,18,93_fairmont_olympic_rates_swish,"['fairmont', 'olympic', 'rates', 'swish', 'nasty', 'avoided', 'upkeep', 'raffles', 'probably', 'expectations']","['fairmont', 'expect', 'discount', 'hotels', 'expectations', 'booking', 'special', 'raffles', 'york', 'trip']","['fairmont', 'olympic', 'rates', 'swish', 'nasty', 'avoided', 'upkeep', 'raffles', 'probably', 'expectations']","['fairmont', 'rates', 'swish', 'nasty', 'upkeep', 'expectations', 'exorbitant', 'presidents', 'visitor', 'rack']","['As a frequent visitor of Fairmont and Fairmont Raffles Hotels I had high expectations for The Plaza Hotel for my New York stay', 'Not so with the Fairmont', 'well, just not what I would expect in a Fairmont']"
95,94,18,94_towels_soft_bath_towel,"['towels', 'soft', 'bath', 'towel', 'cold', 'were', 'homework', 'reuse', 'finance', 'economics']","['towels', 'towel', 'napkins', 'bath', 'sheets', 'linen', 'robes', 'soft', 'pool', 'scented']","['towels', 'soft', 'bath', 'towel', 'cold', 'were', 'homework', 'reuse', 'finance', 'economics']","['towels', 'soft', 'bath', 'towel', 'cold', 'economics', 'finance', 'homework', 'help', 'thing']","['The towels are by far the best I have ever had at a hotel', 'Large towels were provided but they were not very soft', 'She had no regard for getting clean towels and two of the days I spent at the pool she ran out of towels']"
96,95,17,95_reservations_mentions_reservation_any,"['reservations', 'mentions', 'reservation', 'any', 'concierge', 'popular', 'able', 'restaurant', 'us', 'saturday']","['reservation', 'reservations', 'restaurant', 'bookings', 'restaurants', 'dinner', 'guests', 'steakhouse', 'tickets', 'dishes']","['reservations', 'mentions', 'reservation', 'any', 'concierge', 'popular', 'able', 'restaurant', 'us', 'saturday']","['reservations', 'reservation', 'concierge', 'popular', 'able', 'restaurant', 'dinner', 'confirmation', 'dishes', 'guests']","['We already had all of our dinner and show reservations but heard from other guests that the Plaza concierge were able to get them into some very popular restaurants last minute', 'They were able to get me and my husband reservations at any restaurant with a quick call', 'They were able to get us dinner reservations on a Saturday night and answered any question about what to do and see']"
97,96,17,96_peninsula_3x_oue_cheep,"['peninsula', '3x', 'oue', 'cheep', 'dismissive', 'much', 'will', 'deals', 'be', 'experience']","['peninsula', 'hotels', 'pleasant', 'everywhere', 'expectations', 'recommend', 'trip', 'review', 'see', 'enjoyed']","['peninsula', '3x', 'oue', 'cheep', 'dismissive', 'much', 'will', 'deals', 'be', 'experience']","['cheep', 'dismissive', 'deals', 'experience', 'first', 'online', 'doubt', 'mind', 'month', 'nicer']","['Highly recommend the Peninsula, you will not be disappointed', 'Our stay at the Peninsula met all my expectations', '(See Peninsula review']"
98,97,17,97_stayed_days_here_adams,"['stayed', 'days', 'here', 'adams', 'hay', 'past', 'stay', 'week', 'thus', 'three']","['stayed', 'stay', 'days', 'trip', 'weekend', 'place', 'been', 'week', 'day', 'long']","['stayed', 'days', 'here', 'adams', 'hay', 'past', 'stay', 'week', 'thus', 'three']","['days', 'past', 'stay', 'week', 'frustrating', 'experiences', 'site', 'day', 'time', 'outside']","['Stayed here for two days and loved it', 'I stayed here for three days', 'Stayed here for two days and had a great time']"
99,98,17,98_desk_front_told_said,"['desk', 'front', 'told', 'said', 'agent', 'us', 'called', 'when', 'went', 'out']","['desk', 'staff', 'front', 'manager', 'situation', 'cancel', 'call', 'agent', 'agents', 'appointed']","['desk', 'front', 'told', 'said', 'agent', 'us', 'called', 'when', 'went', 'out']","['desk', 'front', 'agent', 'rewards', 'help', 'miles', 'stupid', 'program', 'times', 'mistake']","['We called down to the front desk and were told they would get back to us momentarily', 'Heading over to the front desk there were a couple people in front of us but they promptly called out another front desk agent to help', 'Even though we went to the front desk and told them we were leaving the staff didn’t check us out of our room']"
100,99,16,99_service_fs_hotel_this,"['service', 'fs', 'hotel', 'this', 'potentential', 'advertzed', 'superlative', 'glitziest', 'impeccable', 'customer']","['hotel', 'luxurious', 'luxury', 'amenities', 'service', 'customer', 'glitziest', 'exemplary', 'management', 'place']","['service', 'fs', 'hotel', 'this', 'potentential', 'advertzed', 'superlative', 'glitziest', 'impeccable', 'customer']","['service', 'hotel', 'superlative', 'glitziest', 'impeccable', 'customer', 'exemplary', 'year', 'aspect', 'general']","['Beyond the luxurious amenities and sheets one would expect, what I really enjoyed about this hotel in particular was the incredibly personalized service', 'Kudos to Lema and the general management of this hotel for exemplary customer service', ""It's not the glitziest FS but it's just a great place with consistently excellent customer service, year in an year out""]"
101,100,16,100_tip_tipping_accept_gratuity,"['tip', 'tipping', 'accept', 'gratuity', 'tips', 'everyone', 'slippers', 'times', '125', 'carrying']","['tipping', 'tip', 'tips', 'gratuity', 'slippers', 'butler', 'point', 'policy', 'annoying', 'bothers']","['tip', 'tipping', 'accept', 'gratuity', 'tips', 'everyone', 'slippers', 'times', '125', 'carrying']","['tip', 'tipping', 'gratuity', 'tips', 'slippers', 'times', 'bottle', 'different', 'housekeeper', 'checks']","['We had our butler bring us ice once and he would not accept a tip', ""I also love that they dont accept tips - not because I don't want to tip - believe me I've tried"", 'Of course each time there was the expectation for a tip (a stark contrast to my previous stay at the Waldorf where there is a no tipping policy - heavenly!) The housekeeping was very inconsistent -- some times turndown service was impeccable with a fresh bottle of water and my slippers laid neatly by the bed, other times my slippers would be scattered somewhere and no water bottle in sight']"
102,101,16,101_she_standing_health_her,"['she', 'standing', 'health', 'her', 'asked', 'me', 'us', 'went', 'viewpoint', 'shooting']","['hers', 'room', 'lady', 'her', 'she', 'escort', 'insisted', 'downstairs', 'towel', 'apologized']","['she', 'standing', 'health', 'her', 'asked', 'me', 'us', 'went', 'viewpoint', 'shooting']","['health', 'viewpoint', 'insistent', 'policies', 'crutches', 'club', 'room', 'complementary', 'sign', 'flight']","['However, she was insistent that she organise something for me and made me feel like it really was not an issue at all', ""She informed us that our room wasn't ready and if we wanted to wait at the bar or the rooftop lounge she would find us when it was available"", 'She actually tidied up and straightened our wayward shoes, she laid all of our loose toiletries on a towel, and she folded a pair of pants that had fallen off of a chair back, absolutely nothing invasive, just really thoughtful attentiveness']"
103,102,16,102_name_names_by_knew,"['name', 'names', 'by', 'knew', 'everyone', 'addressed', 'address', 'last', 'irish', 'remember']","['greeted', 'welcoming', 'names', 'addresses', 'met', 'resident', 'our', 'name', 'addressed', 'address']","['name', 'names', 'by', 'knew', 'everyone', 'addressed', 'address', 'last', 'irish', 'remember']","['name', 'names', 'last', 'feat', 'permanent', 'clue', 'compliments', 'resident', 'lol', 'people']","['They greeted us by name everywhere we went', 'The staff made it there business to learn our name and we were always addressed by our last name until the day we left', 'On top of all those lovely touches, everyone addresses you by your last name as though you are a permanent resident, and addressed my daughter by her first name']"
104,103,15,103_drawers_desk_closet_couch,"['drawers', 'desk', 'closet', 'couch', 'large', 'phones', 'plenty', 'living', 'dressing', 'area']","['room', 'drawers', 'couch', 'desk', 'storage', 'hallway', 'sofa', 'closets', 'closet', 'kitchen']","['drawers', 'desk', 'closet', 'couch', 'large', 'phones', 'plenty', 'living', 'dressing', 'area']","['drawers', 'desk', 'closet', 'couch', 'large', 'phones', 'plenty', 'living', 'dressing', 'area']","['Very spacious 420 sq ft room, huge comfortable bed, large flat screen tv, Nespresso coffee machine, microwave, large work desk area, large couch', 'There are two drawers in each nighhtstand, along with cordless phones on each side, a nice clock, dimmer switch lights on the lamps, as well as convenient outlets to charge phones on each side', 'The Superior room has a king size bed, a good size office desk and chair, a full 3 seater couch(!!), a changing / dressing area with a closet and drawers to put clothing away, and a wonderful marble filled bathroom with separate tub, shower, and toilet enclosure']"
105,104,15,104_nights_august_spent_during,"['nights', 'august', 'spent', 'during', 'this', 'week', 'stayed', 'hotel', 'two', 'drug']","['hotel', 'nights', 'vacation', 'stayed', 'visits', 'suites', 'booked', 'visited', 'trip', 'august']","['nights', 'august', 'spent', 'during', 'this', 'week', 'stayed', 'hotel', 'two', 'drug']","['nights', 'week', 'hotel', 'father', 'drug', 'deals', 'days', 'family', 'daughters', 'visits']","['Just spent three nights at this hotel this week (8/13/2012)', 'My husband and I stayed in this hotel for 5 nights in August, during a busy time', 'I spent two nights during the week in August at this hotel']"
106,105,15,105_issues_minor_few_complain,"['issues', 'minor', 'few', 'complain', 'complaints', 'had', 'spurious', 'smartphoone', 'recognise', 'ithing']","['issues', 'complaints', 'problems', 'concern', 'issue', 'complaint', 'complain', 'gripes', 'problem', 'downside']","['issues', 'minor', 'few', 'complain', 'complaints', 'had', 'spurious', 'smartphoone', 'recognise', 'ithing']","['issues', 'minor', 'few', 'complaints', 'spurious', 'smartphoone', 'issue', 'gripes', 'downside', 'concern']","['We had a few minor issues during our stay and all were quickly corrected', 'On the downside we had a few minor issues', 'The issues we had were minor']"
